seg_count,atl07_dt,h_surf,w_gauss,fpb_corr,atl07_h,atl07_w,atl07_fpb
32564,38060912.551084906,0.07730589972099366,0.12099999710917472,0.02179127394,0.07842021,0.118999995,0.0217762
32565,38060912.552168936,0.08526819106638595,0.1009999979287386,0.02137659024,0.08528109,0.099999994,0.021361802
32566,38060912.55308425,0.13380824680065118,0.14999999850988388,0.024749580224999998,0.13482526,0.15,0.024732457
32567,38060912.55397413,0.22598722428338114,0.17700000032782554,0.017163728175,0.22599557,0.177,0.017151855
32568,38060912.55476574,0.26582130520553005,0.1939999893307686,0.015890868465,0.13730592,0.19299999,0.015879875
32569,38060912.55546326,0.38083369708877246,0.7159999728202819,0.012619654692,0.26960897,0.71599996,0.012610924
32570,38060912.55634813,0.29942253631366356,0.4869999930262566,0.012055154993999999,0.30042535,0.487,0.012046815
32571,38060912.55745965,0.30403607493422147,0.5580000042915344,0.01655712867,0.30503672,0.557,0.016545674
32572,38060912.55848055,0.3607290739321032,0.48099998831748964,0.017153865645,0.2611371,0.48099998,0.017141998
32573,38060912.55937477,0.26325175389329303,0.28999999165534973,0.017966976765,0.2664055,0.27499998,0.017954547
32574,38060912.56055294,0.26057832450161555,0.17999999970197678,0.021413710485,0.26262665,0.183,0.021398896
32575,38060912.56149277,0.26320064746535454,0.20799999237060546,0.01745549544,0.26321134,0.20699999,0.01744342
32576,38060912.56241032,-0.021240514222518492,0.7209999710321426,0.015640646669999998,0.38606167,0.0,0.015629826
32577,38060912.56340636,0.3739853062757925,0.5600000023841858,0.0146563901475,0.37498498,0.56,0.014646251
32578,38060912.56440449,0.1682369183191046,0.1939999893307686,0.014589249771,0.16924639,0.19299999,0.014579156
32579,38060912.56549666,0.14400118099790404,0.14199999272823333,0.016854419984999997,0.14156185,0.133,0.018620826
32580,38060912.566333935,0.24346454138794016,0.27599999904632566,0.01589984526,0.22210753,0.267,0.01612254
32581,38060912.56704905,0.36804819603993266,0.3349999859929085,0.01862316864,0.36905777,0.334,0.018610286
32582,38060912.5680674,0.6718512989376775,0.5419999957084656,0.015145472085,0.6728497,0.541,0.015134994
32583,38060912.56899533,0.8847212796246735,0.45499998331069946,0.016103436689999997,0.8857227,0.454,0.016092297
32584,38060912.569952376,0.7251732215423914,0.2789999857544899,0.018373797074999997,0.7248789,0.27899998,0.018671548
32585,38060912.57080749,0.6184634322388618,0.2149999961256981,0.022870427175,0.61847293,0.214,0.022854606
32586,38060912.571703345,0.5159343953818585,0.19299998953938485,0.02246243622,0.5165565,0.19199999,0.022843204
32587,38060912.57279747,0.36697886537334323,0.2269999973475933,0.020531989004999997,0.36698163,0.226,0.020517785
32588,38060912.57387885,0.2591879732589284,0.17700000032782554,0.015570021825,0.2514835,0.173,0.016333302
32589,38060912.57506826,0.23797460917066626,0.16799999475479127,0.01712415282,0.23898828,0.167,0.017112305
32590,38060912.57614759,0.26793038094394017,0.18799999058246614,0.01832326917,0.2689472,0.18699999,0.018310593
32591,38060912.57721911,0.34220859571149376,0.20099999532103538,0.021008253705,0.3422198,0.20099999,0.02099372
32592,38060912.578164816,0.39420070564307164,0.26299998760223386,0.02034799764,0.39621922,0.26299998,0.019332135
32593,38060912.579092614,0.4383104447528323,0.2749999985098839,0.016650105615,0.4383326,0.274,0.016638586
32594,38060912.58011396,0.36678345621324215,0.27099999636411665,0.01745549544,0.36679488,0.26999998,0.01744342
32595,38060912.581086114,0.3149547036667695,0.2739999979734421,0.018048800535,0.31597957,0.273,0.018036313
32596,38060912.58220073,0.33996355690754054,0.2789999857544899,0.01745549544,0.34363696,0.27699998,0.01744342
32597,38060912.583080135,0.31635071431839545,0.41799998879432676,0.020598938114999996,0.32962474,0.389,0.020259658
32598,38060912.583819866,0.24379976037109508,0.4969999834895134,0.01807071735,0.3327958,0.477,0.01865336
32599,38060912.58476281,0.19937760570125285,0.19099998995661735,0.01692282333,0.19938566,0.19,0.016911115
32600,38060912.585686825,0.1467746908462768,0.12399999648332596,0.020990903054999996,0.1458901,0.117,0.022093613
32601,38060912.586778045,0.1294749097626502,0.14199999272823333,0.022652869139999997,0.13010646,0.137,0.022254888
32602,38060912.58765145,0.15381368208830626,0.19799999594688417,0.02246243622,0.15483743,0.197,0.022446897
32603,38060912.58853682,0.1728292095295174,0.2199999913573265,0.020699325315,0.17384526,0.22,0.020685006
32604,38060912.58954102,0.11577067355404402,0.11699999794363976,0.021867104444999997,0.11578741,0.116,0.021851977
32605,38060912.590508,0.09784297429900146,0.1009999979287386,0.02169108606,0.09787156,0.102,0.02125657
32606,38060912.5917475,0.07845197199201337,0.10499999858438969,0.019631726385,0.07497041,0.102,0.019618144
32607,38060912.593093395,0.07240659657455861,0.1179999977350235,0.016528726485,0.06995558,0.114999995,0.01689287
32608,38060912.594453454,0.037161608533057056,0.09599999710917473,0.016345297425,0.043807894,0.103,0.017041009
32609,38060912.5956428,0.032651217398157684,0.06799999848008156,0.017079241829999998,0.03265537,0.067,0.017067427
32610,38060912.59685047,0.04201271098734516,0.07999999821186066,0.016049445675,0.04203152,0.078999996,0.016038343
32611,38060912.59790082,0.03854730259855721,0.10399999842047691,0.019676336085,0.038561903,0.103999995,0.019662723
32612,38060912.59895479,0.05607890835752549,0.11999999731779099,0.021008253705,0.05610347,0.12,0.02099372
32613,38060912.60014545,0.06836083131600823,0.08299999758601188,0.018650707875,0.068308495,0.078999996,0.018670479
